HUC12,NumTEspp
031501041303,1
031501041304,1
031501041401,1
031501041506,1
031501050107,1
031501050201,1
031501050301,1
031501050401,1
031501050402,3
031501050404,4
031501050407,1
031501050408,2
031501050602,6
031501050603,5
031501050802,1
031501050806,2
031501050807,1
031501050901,1
031501050902,1
031501050904,1
031501050906,2
031501050907,1
031501050908,2
031501050909,4
031501051003,4
031501060102,1
031501060108,1
031501060301,3
031501060302,2
031501060303,3
031501060304,5
031501060305,4
031501060306,2
031501060308,1
031501060405,1
031501060406,1
031501060501,4
031501060502,2
031501060504,4
031501060506,1
031501060507,1
031501060509,1
031501060511,2
031501060512,2
031501060514,6
031501060603,1
031501060703,1
031501060801,1
031501060805,1
031501060806,1
031501060807,2
031501060808,4
031501060809,1
031501060810,4
031501070101,1
031501070102,1
031501070103,1
031501070203,1
031501070205,3
031501070301,4
031501070304,1
031501070402,1
031501070403,1
031501070404,1
031501070405,1
031501070406,1
031501070501,1
031501070502,1
031501070602,1
031501070603,4
031501070701,1
031501070702,6
031501070706,2
031501070707,1
031501070708,1
031501070709,1
031501070801,1
031501070802,2
031501070803,1
031501070901,1
031501070904,1
031501070907,5
031501080101,1
031501080102,1
031501080103,1
031501080104,1
031501080105,1
031501080201,1
031501080202,1
031501080203,1
031501080205,1
031501080206,1
031501080303,1
031501080403,1
031501080405,1
031501090501,1
031501090503,1
031501100202,1
031501100204,3
031501100205,1
031501100301,2
031501100302,4
031501100304,1
031501100504,1
031502010106,4
031502010310,1
031502010406,1
031502010407,3
031502010501,1
031502011202,5
031502011204,1
031502011206,2
031502011207,4
031502020101,2
031502020102,1
031502020103,3
031502020104,9
031502020203,5
031502020204,10
031502020206,9
031502020303,4
031502020402,1
031502020404,4
031502020405,8
031502020406,1
031502020407,10
031502020502,3
031502020503,13
031502020506,5
031502020507,1
031502020601,2
031502020602,1
031502020603,2
031502020702,1
031502020801,3
031502020805,3
031502020902,4
031502030102,2
031502030106,1
031502030107,2
031502030109,2
031502030110,1
031502030301,1
031502030303,5
031502030402,1
031502030703,3
031502030804,1
031502030805,1
031502040201,1
031502040206,1
031502040302,1
031502040304,1
031502040405,4
031502040604,2
031502040705,2
031601010502,1
031601011405,1
031601030102,1
031601030306,3
031601050401,1
031601050402,2
031601060203,2
031601060401,1
031601060404,1
031601060408,4
031601060502,1
031601060504,4
031601060505,6
031601060507,1
